Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606775150,192.168.1.74,57632,162.254.195.67,27018,17,2400,1952,15,10,1606775150469;1606775150477;1606775150509;1606775150509;1606775150509;1606775150509;1606775150509;1606775150510;1606775150510;1606775150510;1606775150519;1606775150519;1606775150519;1606775150519;1606775150522;1606775150556;1606775150556;1606775150556;1606775150674;1606775150674;1606775150681;1606775150746;1606775150746;1606775150879;1606775150935;,192;336;128;128;160;160;160;160;160;128;64;64;112;112;160;256;160;160;432;304;64;160;160;176;256;,2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;
1606775150,192.168.1.67,5353,224.0.0.251,5353,17,138,0,1,0,1606775150674;,138;,1;
1606775150,192.168.1.111,5353,224.0.0.251,5353,17,390,0,1,0,1606775150674;,390;,1;
1606775150,FE80::718B:908D:5AF7:3D8B,0,FF02::1:FF22:74BA,0,58,72,0,1,0,1606775150674;,72;,1;
1606775151,192.168.1.74,57632,162.254.195.67,27018,17,512,1568,4,4,1606775151083;1606775151353;1606775151705;1606775151705;1606775151705;1606775151728;1606775151790;1606775151790;,720;64;352;160;336;128;160;160;,2;1;2;2;2;1;1;1;
1606775151,192.168.1.74,59448,18.214.242.166,443,6,40,40,1,1,1606775151083;1606775151083;,40;40;,2;1;
1606775151,192.168.1.77,0,224.0.0.22,0,2,40,0,1,0,1606775151288;,40;,1;
1606775151,192.168.1.74,59460,8.36.80.244,443,6,0,40,0,1,1606775151288;,40;,2;
1606775151,192.168.1.74,59401,137.110.0.70,443,6,77,40,1,1,1606775151820;1606775151833;,77;40;,1;2;
1606775152,192.168.1.74,57632,162.254.195.67,27018,17,64,416,1,1,1606775152003;1606775152274;,416;64;,2;1;
1606775152,192.168.1.74,59402,192.168.1.111,8009,6,190,150,2,1,1606775152197;1606775152227;1606775152273;,150;150;40;,1;2;1;
1606775152,192.168.1.111,5353,224.0.0.251,5353,17,816,0,6,0,1606775152208;1606775152208;1606775152208;1606775152209;1606775152515;1606775152515;,67;77;206;144;68;254;,1;1;1;1;1;1;
1606775152,FE80::718B:908D:5AF7:3D8B,0,FF02::1:FF22:74BA,0,58,72,0,1,0,1606775152822;,72;,1;
1606775153,192.168.1.67,0,224.0.0.22,0,2,56,0,1,0,1606775153129;,56;,1;
1606775153,192.168.1.74,59438,54.149.94.178,443,6,98,40,1,1,1606775153590;1606775153666;,98;40;,1;2;
1606775153,192.168.1.74,59442,54.149.94.178,443,6,98,40,1,1,1606775153592;1606775153664;,98;40;,1;2;
1606775153,192.168.1.71,0,224.0.0.22,0,2,40,0,1,0,1606775153744;,40;,1;
1606775153,FE80::718B:908D:5AF7:3D8B,0,FF02::1:FF22:74BA,0,58,72,0,1,0,1606775153744;,72;,1;
1606775154,192.168.1.74,5353,224.0.0.251,5353,17,1233,0,2,0,1606775154162;1606775154162;,710;523;,1;1;
1606775154,FE80::718B:908D:5AF7:3D8B,0,FF02::1:FF22:74BA,0,58,72,0,1,0,1606775154974;,72;,1;
1606775155,192.168.1.77,0,224.0.0.22,0,2,40,0,1,0,1606775155281;,40;,1;
1606775155,192.168.1.74,57632,162.254.195.67,27018,17,0,352,0,1,1606775155794;,352;,2;
1606775155,192.168.1.71,0,224.0.0.22,0,2,40,0,1,0,1606775155896;,40;,1;
1606775155,192.168.1.74,59163,137.110.0.70,443,17,270,1016,2,2,1606775155919;1606775155919;1606775155930;1606775155942;,135;135;602;414;,1;1;2;2;
1606775155,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,56274,2600:1700:7C08:3440::1,53,17,89,0,1,0,1606775155919;,89;,1;
1606775155,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,51796,2600:1700:7C08:3440::1,53,17,89,284,1,1,1606775155919;1606775155930;,89;284;,1;2;
1606775155,192.168.1.74,59461,152.199.24.108,443,6,322,1592,3,3,1606775155943;1606775155952;1606775155952;1606775155952;1606775155997;1606775155997;,52;52;40;230;40;1500;,1;2;1;1;2;2;
1606775156,192.168.1.74,59461,152.199.24.108,443,6,778,4322,9,8,1606775156052;1606775156055;1606775156055;1606775156055;1606775156055;1606775156056;1606775156057;1606775156067;1606775156069;1606775156084;1606775156084;1606775156084;1606775156084;1606775156084;1606775156084;1606775156084;1606775156092;,40;1500;983;40;983;52;166;266;289;439;71;40;40;71;40;40;40;,1;2;2;1;2;1;1;2;1;2;2;1;2;1;1;1;2;
1606775156,192.168.1.106,35785,239.255.255.250,1900,17,459,0,3,0,1606775156055;1606775156304;1606775156613;,153;153;153;,1;1;1;
1606775156,192.168.1.74,57632,162.254.195.67,27018,17,64,0,1,0,1606775156082;,64;,1;
1606775156,192.168.1.73,5353,224.0.0.251,5353,17,89,0,1,0,1606775156202;,89;,1;
1606775156,192.168.1.111,5353,224.0.0.251,5353,17,795,0,2,0,1606775156511;1606775156511;,390;405;,1;1;
1606775156,192.168.1.106,0,224.0.0.22,0,2,48,0,1,0,1606775156511;,48;,1;
1606775156,192.168.1.74,59418,3.232.144.130,443,6,153,127,2,1,1606775156756;1606775156920;1606775156961;,113;127;40;,1;2;1;
1606775157,192.168.1.73,5353,224.0.0.251,5353,17,89,0,1,0,1606775157123;,89;,1;
1606775157,192.168.1.74,59402,192.168.1.111,8009,6,190,150,2,1,1606775157230;1606775157328;1606775157383;,150;150;40;,1;2;1;
1606775157,192.168.1.111,5353,224.0.0.251,5353,17,795,0,2,0,1606775157431;1606775157433;,390;405;,1;1;
1606775157,192.168.1.105,5353,224.0.0.251,5353,17,233,0,1,0,1606775157740;,233;,1;
1606775157,192.168.1.71,138,192.168.1.255,138,17,229,0,1,0,1606775157740;,229;,1;
1606775157,192.168.1.74,59163,137.110.0.70,443,17,133,198,1,1,1606775157952;1606775157964;,133;198;,1;2;
1606775157,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,64816,2600:1700:7C08:3440::1,53,17,87,103,1,1,1606775157952;1606775157962;,87;103;,1;2;
1606775157,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,52036,2600:1700:7C08:3440::1,53,17,87,152,1,1,1606775157952;1606775157962;,87;152;,1;2;
1606775157,192.168.1.74,59462,8.36.80.244,443,6,52,0,1,0,1606775157965;,52;,1;
1606775158,192.168.1.74,59462,8.36.80.244,443,6,1859,3877,8,11,1606775158047;1606775158047;1606775158047;1606775158149;1606775158149;1606775158149;1606775158150;1606775158150;1606775158252;1606775158252;1606775158252;1606775158253;1606775158356;1606775158356;1606775158356;1606775158356;1606775158356;1606775158455;1606775158455;,48;40;246;1440;1404;40;289;382;40;115;301;717;40;40;381;93;40;40;40;,2;1;1;2;2;1;2;1;2;2;1;1;2;2;2;1;1;2;2;
1606775158,192.168.1.111,5353,224.0.0.251,5353,17,1200,0,3,0,1606775158353;1606775158353;1606775158356;,405;405;390;,1;1;1;
1606775158,192.168.1.105,5353,224.0.0.251,5353,17,233,0,1,0,1606775158662;,233;,1;
1606775159,192.168.1.74,59163,137.110.0.70,443,17,524,1974,4,4,1606775159299;1606775159299;1606775159315;1606775159315;1606775159483;1606775159483;1606775159494;1606775159509;,133;133;596;597;129;129;508;273;,1;1;2;2;1;1;2;2;
1606775159,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,51662,2600:1700:7C08:3440::1,53,17,87,236,1,1,1606775159299;1606775159312;,87;236;,1;2;
1606775159,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,59727,2600:1700:7C08:3440::1,53,17,87,260,1,1,1606775159299;1606775159314;,87;260;,1;2;
1606775159,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,59463,2600:1406:3400::6862:7492,443,6,1115,9599,9,16,1606775159315;1606775159325;1606775159325;1606775159325;1606775159334;1606775159334;1606775159334;1606775159334;1606775159335;1606775159339;1606775159348;1606775159350;1606775159350;1606775159378;1606775159378;1606775159378;1606775159378;1606775159378;1606775159378;1606775159378;1606775159378;1606775159379;1606775159379;1606775159387;1606775159389;,72;72;60;248;60;1500;1500;60;1102;186;60;318;278;60;1500;1500;1500;156;91;60;60;91;60;60;60;,1;2;1;1;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;
1606775159,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,52048,2600:1700:7C08:3440::1,53,17,83,178,1,1,1606775159483;1606775159494;,83;178;,1;2;
1606775159,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,65267,2600:1700:7C08:3440::1,53,17,83,227,1,1,1606775159484;1606775159494;,83;227;,1;2;
1606775159,192.168.1.74,59437,54.211.89.16,443,6,40,40,1,1,1606775159509;1606775159509;,40;40;,2;1;
1606775159,192.168.1.74,59464,152.195.55.22,443,6,1285,7268,10,12,1606775159510;1606775159518;1606775159518;1606775159518;1606775159527;1606775159527;1606775159527;1606775159527;1606775159527;1606775159527;1606775159527;1606775159529;1606775159538;1606775159539;1606775159549;1606775159549;1606775159549;1606775159549;1606775159549;1606775159549;1606775159550;1606775159558;,52;52;40;224;40;1500;1500;1216;40;742;40;166;266;572;1500;301;71;40;40;71;40;40;,1;2;1;1;2;2;2;2;1;2;1;1;2;1;2;2;2;2;1;1;1;2;
1606775159,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,59450,2602:801:F00B:1::CDC4:68F,80,6,120,60,2,1,1606775159798;1606775159863;1606775159863;,60;60;60;,1;2;1;
1606775159,192.168.1.74,59446,198.189.255.155,443,6,80,111,2,2,1606775159861;1606775159871;1606775159871;1606775159871;,40;71;40;40;,1;2;2;1;
1606775159,192.168.1.74,59445,198.189.255.155,443,6,80,111,2,2,1606775159861;1606775159871;1606775159871;1606775159871;,40;71;40;40;,1;2;2;1;
1606775159,192.168.1.74,59447,198.189.255.155,443,6,80,111,2,2,1606775159861;1606775159871;1606775159871;1606775159871;,40;71;40;40;,1;2;2;1;
1606775159,192.168.1.74,59438,54.149.94.178,443,6,96,136,1,2,1606775159924;1606775159993;1606775159993;,96;40;96;,1;2;2;
1606775159,192.168.1.74,59442,54.149.94.178,443,6,96,136,1,2,1606775159924;1606775159993;1606775159993;,96;40;96;,1;2;2;
1606775160,192.168.1.74,59438,54.149.94.178,443,6,40,0,1,0,1606775160033;,40;,1;
1606775160,192.168.1.74,59442,54.149.94.178,443,6,40,0,1,0,1606775160033;,40;,1;
1606775160,192.168.1.74,59443,18.214.242.166,443,6,40,40,1,1,1606775160299;1606775160299;,40;40;,2;1;
1606775160,192.168.1.74,59465,192.168.1.105,8009,6,649,92,3,2,1606775160485;1606775160577;1606775160577;1606775160578;1606775160591;,52;52;40;557;40;,1;2;1;1;2;
1606775160,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,56274,2600:1700:7C08:3440::1,53,17,0,235,0,1,1606775160503;,235;,2;
1606775160,192.168.1.74,59466,8.36.80.244,443,6,2551,3877,9,11,1606775160575;1606775160594;1606775160594;1606775160595;1606775160617;1606775160617;1606775160617;1606775160617;1606775160617;1606775160691;1606775160691;1606775160692;1606775160692;1606775160802;1606775160802;1606775160802;1606775160802;1606775160802;1606775160824;1606775160824;,52;48;40;246;1440;1404;289;40;382;40;115;301;1357;40;40;381;93;40;40;40;,1;2;1;1;2;2;2;1;1;2;2;1;1;2;2;2;1;1;2;2;
1606775160,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,0,2600:1700:7C08:3440::1,0,58,72,64,1,1,1606775160689;1606775160694;,72;64;,1;2;
1606775160,192.168.1.74,57632,162.254.195.67,27018,17,112,0,1,0,1606775160801;,112;,1;
1606775160,FE80::718B:908D:5AF7:3D8B,0,FF02::1:FF22:74BA,0,58,72,0,1,0,1606775160809;,72;,1;
1606775161,2600:1700:7C08:3440:34D8:DB21:F0CD:C26E,0,FE80::6E63:9CFF:FE74:A010,0,58,72,72,1,1,1606775161015;1606775161015;,72;72;,2;1;
1606775161,192.168.1.74,59462,8.36.80.244,443,6,0,40,0,1,1606775161119;,40;,2;
1606775161,192.168.1.74,59448,18.214.242.166,443,6,40,40,1,1,1606775161143;1606775161143;,40;40;,2;1;
1606775161,FE80::718B:908D:5AF7:3D8B,0,FF02::1:FF22:74BA,0,58,72,0,1,0,1606775161738;,72;,1;
1606775162,192.168.1.74,59402,192.168.1.111,8009,6,190,150,2,1,1606775162340;1606775162654;1606775162702;,150;150;40;,1;2;1;
1606775162,FE80::718B:908D:5AF7:3D8B,0,FF02::1:FF22:74BA,0,58,72,0,1,0,1606775162960;,72;,1;
