Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605583155,192.168.1.4,10101,239.255.255.251,10101,17,64,0,1,0,1605583155473;,64;,1;
1605583155,192.168.1.16,58080,137.110.0.70,443,17,132,194,1,1,1605583155786;1605583155805;,132;194;,1;2;
1605583155,192.168.1.16,54823,192.168.1.1,53,17,66,128,1,1,1605583155786;1605583155805;,66;128;,1;2;
1605583156,192.168.1.16,61079,192.168.1.3,8009,6,190,150,2,1,1605583156265;1605583156269;1605583156311;,150;150;40;,1;2;1;
1605583157,192.168.1.6,5353,224.0.0.251,5353,17,167,0,1,0,1605583157522;,167;,1;
1605583157,FE80::1CEF:B6AF:7E31:E946,5353,FF02::FB,5353,17,187,0,1,0,1605583157525;,187;,1;
1605583157,192.168.1.16,61123,128.54.70.212,443,6,75,111,1,2,1605583157525;1605583157525;1605583157598;,71;75;40;,2;1;2;
1605583157,192.168.1.16,61087,54.149.94.178,443,6,136,136,2,2,1605583157596;1605583157720;1605583157728;1605583157779;,96;40;96;40;,1;2;2;1;
1605583157,192.168.1.16,61084,18.211.21.156,443,6,153,131,2,1,1605583157719;1605583157821;1605583157872;,113;131;40;,1;2;1;
1605583157,192.168.1.16,61088,54.149.94.178,443,6,136,96,2,1,1605583157764;1605583157812;1605583157857;,96;96;40;,1;2;1;
1605583157,192.168.1.16,61413,162.247.243.147,443,6,41,52,1,1,1605583157810;1605583157834;,41;52;,1;2;
1605583157,192.168.1.16,61080,192.168.1.4,8009,6,190,150,2,1,1605583157888;1605583157932;1605583157979;,150;150;40;,1;2;1;
1605583158,192.168.1.16,61414,162.247.243.147,443,6,41,52,1,1,1605583158579;1605583158593;,41;52;,1;2;
1605583158,192.168.1.16,61399,162.247.243.146,443,6,41,52,1,1,1605583158701;1605583158715;,41;52;,1;2;
1605583158,192.168.1.6,5353,224.0.0.251,5353,17,237,0,1,0,1605583158752;,237;,1;
1605583158,FE80::1CEF:B6AF:7E31:E946,5353,FF02::FB,5353,17,257,0,1,0,1605583158754;,257;,1;
1605583158,192.168.1.16,61412,162.247.243.147,443,6,41,52,1,1,1605583158842;1605583158866;,41;52;,1;2;
1605583158,192.168.1.16,61403,162.247.243.146,443,6,41,52,1,1,1605583158905;1605583158920;,41;52;,1;2;
1605583159,192.168.1.16,61466,104.19.134.78,443,6,41,52,1,1,1605583159106;1605583159123;,41;52;,1;2;
